sample;date;strain;temperature;nitrate;rep.well;Abs;comments;
Chsim_08/05/2016 9:00:00_40mlFlasks_34_L1;05/08/2016 09:00;L1-1;34;L1;ANCESTRAL;0.016;;
Chsim_08/05/2016 9:00:00_40mlFlasks_34_L1;05/08/2016 09:00;L1-2;34;L1;ANCESTRAL;0.005;;
Chsim_08/05/2016 9:00:00_40mlFlasks_34_L1;05/08/2016 09:00;L1-4;34;L1;ANCESTRAL;0.03;;
Chsim_08/05/2016 9:00:00_40mlFlasks_34_5;05/08/2016 09:00;5-1;34;L1;ANCESTRAL;0.009;;
Chsim_08/05/2016 9:00:00_40mlFlasks_34_5;05/08/2016 09:00;5-2;34;L1;ANCESTRAL;0.002;;
Chsim_08/05/2016 9:00:00_40mlFlasks_34_5;05/08/2016 09:00;5-3;34;L1;ANCESTRAL;0.001;;
Chsim_08/05/2016 9:00:00_40mlFlasks_34_5;05/08/2016 09:00;5-4;34;L1;ANCESTRAL;0.003;;
Chsim_09/05/2016 8:50:00_40mlFlasks_34_L1;05/09/2016 08:50;L1-1;34;L1;ANCESTRAL;0.017;;
Chsim_09/05/2016 8:50:00_40mlFlasks_34_L1;05/09/2016 08:50;L1-2;34;L1;ANCESTRAL;0.007;;
Chsim_09/05/2016 8:50:00_40mlFlasks_34_L1;05/09/2016 08:50;L1-4;34;L1;ANCESTRAL;0.035;;
Chsim_09/05/2016 8:50:00_40mlFlasks_34_5;05/09/2016 08:50;5-1;34;L1;ANCESTRAL;0.008;;
Chsim_09/05/2016 8:50:00_40mlFlasks_34_5;05/09/2016 08:50;5-2;34;L1;ANCESTRAL;0.005;;
Chsim_09/05/2016 8:50:00_40mlFlasks_34_5;05/09/2016 08:50;5-3;34;L1;ANCESTRAL;0.004;;
Chsim_09/05/2016 8:50:00_40mlFlasks_34_5;05/09/2016 08:50;5-4;34;L1;ANCESTRAL;0.009;;
Chsim_09/05/2016 8:50:00_40mlFlasks_34_L1;05/09/2016 08:50;L1-1;34;L1;ANCESTRAL;0.017;;
Chsim_09/05/2016 8:50:00_40mlFlasks_34_L1;05/09/2016 08:50;L1-2;34;L1;ANCESTRAL;0.007;;
Chsim_09/05/2016 8:50:00_40mlFlasks_34_L1;05/09/2016 08:50;L1-4;34;L1;ANCESTRAL;0.035;;
Chsim_09/05/2016 8:50:00_40mlFlasks_34_5;05/09/2016 08:50;5-1;34;L1;ANCESTRAL;0.008;;
Chsim_09/05/2016 8:50:00_40mlFlasks_34_5;05/09/2016 08:50;5-2;34;L1;ANCESTRAL;0.005;;
Chsim_09/05/2016 8:50:00_40mlFlasks_34_5;05/09/2016 08:50;5-3;34;L1;ANCESTRAL;0.004;;
Chsim_09/05/2016 8:50:00_40mlFlasks_34_5;05/09/2016 08:50;5-4;34;L1;ANCESTRAL;0.009;;
Chsim_10/05/2016 9:35:00_40mlFlasks_34_L1;05/10/2016 09:35;L1-1;34;L1;ANCESTRAL;0.022;;
Chsim_10/05/2016 9:35:00_40mlFlasks_34_L1;05/10/2016 09:35;L1-2;34;L1;ANCESTRAL;0.008;;
Chsim_10/05/2016 9:35:00_40mlFlasks_34_L1;05/10/2016 09:35;L1-4;34;L1;ANCESTRAL;0.035;;
